timestamp,particulates,ozone,temperature,wind,aqi,county
"June 09, 2016 04:06:11 pm",12,0.054,93,NW 8.1,050,salt lake
"June 09, 2016 04:06:11 pm",35.4,0.07,88,N 10.1,100,tooele
"June 09, 2016 04:06:12 pm",55.4,0.085,86,S 12.5,150,uintah
"June 09, 2016 04:06:12 pm",150.4,0.105,92,S 10.5,200,utah
"June 09, 2016 04:06:12 pm",250.4,0.200,94,SW 10.9,300,washington
"June 09, 2016 04:06:12 pm",300,0.5,87,W 5.3,500,weber
"June 10, 2016 04:26:46 pm",13.4,0.05,88,SW 7.6,050,box elder
"June 10, 2016 04:26:46 pm",,0.056,84,S 21.6,050,cache
"June 10, 2016 04:26:46 pm",,0.047,88,E 6.8,050,carbon
"June 10, 2016 04:26:47 pm",6.1,0.042,90,S 7.8,037,davis
"June 10, 2016 04:26:47 pm",5.1,0.058,94,S 6.3,050,duchesne
"June 10, 2016 04:26:47 pm",6.1,0.042,90,S 7.8,037,salt lake
"June 10, 2016 04:26:47 pm",7.4,0.044,89,S 19.8,037,tooele
"June 10, 2016 04:26:47 pm",4.8,0.059,87,SW 17.2,050,uintah
"June 10, 2016 04:26:47 pm",5.4,0.05,89,E 5.5,050,utah
"June 10, 2016 04:26:48 pm",7.4,0.05,93,SW 9.3,050,washington
"June 10, 2016 04:26:48 pm",7.5,0.048,88,SW 7.1,050,weber
"June 12, 2016 11:43:26 pm",25.6,0.035,61,NE 9.5,037,box elder
"June 12, 2016 11:43:26 pm",5.1,0.036,60,SE 14.4,037,cache
"June 12, 2016 11:43:26 pm",,0.042,72,NW 10,037,carbon
"June 12, 2016 11:43:27 pm",4.1,0.034,68,NW 1.7,037,davis
"June 12, 2016 11:43:27 pm",8.6,0.032,67,NW 3.6,037,duchesne
"June 12, 2016 11:43:27 pm",4.1,0.034,68,NW 1.7,037,salt lake
"June 12, 2016 11:43:27 pm",5.6,0.025,61,S 4.3,025,tooele
"June 12, 2016 11:43:27 pm",7.6,0.043,67,N 9.2,037,uintah
"June 12, 2016 11:43:28 pm",4.6,0.04,68,W 3.9,037,utah
"June 12, 2016 11:43:28 pm",5.6,0.034,79,SE 3.8,037,washington
"June 12, 2016 11:43:28 pm",4.9,0.026,65,S 2.5,025,weber
"June 13, 2016 10:32:17 am",31.3,0.036,70,NW 1.6,037,box elder
"June 13, 2016 10:32:17 am",6.8,0.027,57,NW 5.5,025,cache
"June 13, 2016 10:32:17 am",,0.038,68,S 6.7,037,carbon
"June 13, 2016 10:32:17 am",5.6,0.027,69,S 2.8,025,davis
"June 13, 2016 10:32:17 am",10.2,0.03,67,SE 4.7,025,duchesne
"June 13, 2016 10:32:17 am",5.6,0.027,69,S 2.8,025,salt lake
"June 13, 2016 10:32:17 am",7.4,0.037,66,SW 2.8,037,tooele
"June 13, 2016 10:32:17 am",9.7,0.043,64,N 13.1,037,uintah
"June 13, 2016 10:32:17 am",,0.022,64,SW 4.9,025,utah
"June 13, 2016 10:32:17 am",7.1,0.03,70,N 6,025,washington
"June 13, 2016 10:32:17 am",14.5,0.031,66,W 2.8,037,weber
"June 13, 2016 10:36:52 am",14.5,0.031,66,W 2.8,037,weber
"June 13, 2016 01:33:10 pm",,0.046,71,SW 7.8,050,box elder
"June 13, 2016 01:33:10 pm",10.9,,68,W 15.2,_na,cache
"June 13, 2016 01:33:10 pm",,0.047,64,NW 12.9,050,carbon
"June 13, 2016 01:33:10 pm",7.6,0.039,72,NW 3.8,037,davis
"June 13, 2016 01:33:10 pm",3.6,0.047,59,NW 9.8,050,duchesne
"June 13, 2016 01:33:10 pm",7.6,0.039,72,NW 3.8,037,salt lake
"June 13, 2016 01:33:10 pm",5.3,0.041,67,N 7.5,037,tooele
"June 13, 2016 01:33:10 pm",6.9,0.052,71,SW 33.8,050,uintah
"June 13, 2016 01:33:10 pm",5.4,0.051,74,S 5.5,050,utah
"June 13, 2016 01:33:10 pm",5.3,0.049,80,W 6.1,050,washington
"June 13, 2016 01:33:10 pm",8.5,0.049,71,S 5.8,050,weber
"June 09, 2666 04:06:11 pm",,0.056,82,S 10,050,cache
"June 09, 2666 04:06:11 pm",,0.06,86,SE 4.6,075,carbon
"June 09, 2666 04:06:11 pm",1.6,0.058,93,NW 8.1,050,davis
"June 09, 2666 04:06:11 pm",7.2,0.059,90,E 5,050,duchesne
"June 09, 2666 04:06:11 pm",12,0.054,93,NW 8.1,050,salt lake
"June 09, 2666 04:06:11 pm",35.4,0.07,88,N 10.1,100,tooele
"June 09, 2666 04:06:12 pm",55.4,0.085,86,S 12.5,150,uintah
"June 09, 2666 04:06:12 pm",150.4,0.105,92,S 10.5,200,utah
"June 09, 2666 04:06:12 pm",250.4,0.200,94,SW 10.9,300,washington
"June 09, 2666 04:06:12 pm",300,0.5,87,W 5.3,500,weber
"June 13, 2016 01:35:41 pm",,0.046,71,SW 7.8,050,box elder
"June 13, 2016 01:35:41 pm",10.9,,68,W 15.2,_na,cache
"June 13, 2016 01:35:41 pm",,0.047,64,NW 12.9,050,carbon
"June 13, 2016 01:35:41 pm",7.6,0.039,72,NW 3.8,037,davis
"June 13, 2016 01:35:41 pm",3.6,0.047,59,NW 9.8,050,duchesne
"June 13, 2016 01:35:41 pm",7.6,0.039,72,NW 3.8,037,salt lake
